"X","hotel_name","clean_score","location_score","service_score","room_score","money_score","food_score","transport_score","facilities_score","culture_score","joy_score","Hotel_Address","Average_Score","Total_Number_of_Reviews","lat","lng","country","id"
"708","Hotel Mediolanum",0.0821917808219178,0.0958904109589041,0.0136986301369863,0.0410958904109589,0.0547945205479452,0.561643835616438,0.0136986301369863,0,0,0.0136986301369863,"Via Mauro Macchi 1 Central Station 20124 Milan Italy",8.4,885,45.4813423,9.2039494,"Italy",1369
"709","Hotel Mentana",0.113636363636364,0.0227272727272727,0.0681818181818182,0.0909090909090909,0.0795454545454545,0.193181818181818,0.0340909090909091,0,0,0.0227272727272727,"Via Morigi 2 Milan City Center 20123 Milan Italy",7.4,974,45.4622972,9.1814695,"Italy",1378
"710","Hotel Mercure La Sorbonne Saint Germain des Pr s",0.03125,0.03125,0,0.03125,0.03125,0.09375,0.0625,0,0,0.09375,"14 Rue de la Sorbonne 5th arr 75005 Paris France",8.3,464,48.8493499,2.3430569,"France",135
"711","Hotel Mercure Milano Centro",0.173076923076923,0.0192307692307692,0.0192307692307692,0.0961538461538462,0.0192307692307692,0.211538461538462,0.0192307692307692,0.0192307692307692,0,0.0769230769230769,"Piazza Oberdan 12 Milan City Center 20129 Milan Italy",8.4,515,45.4747809,9.2059385,"Italy",1164
"712","Hotel Mercure Milano Solari",0.133333333333333,0.0666666666666667,0,0.155555555555556,0.0444444444444444,0.0666666666666667,0,0.0222222222222222,0,0.0222222222222222,"Via Pietro Orseolo 1 Navigli 20144 Milan Italy",8.3,918,45.4565757,9.1684824,"Italy",1387
"713","Hotel Mercure Wien City",0.174603174603175,0.0317460317460317,0,0.174603174603175,0.0793650793650794,0.174603174603175,0.0476190476190476,0,0,0.0158730158730159,"Hollandstra e 3 02 Leopoldstadt 1020 Vienna Austria",8.2,910,48.2152663,16.376103,"Austria",987
"714","Hotel Mercure Wien Westbahnhof",0.12,0.08,0.02,0.04,0.04,0.14,0.1,0.02,0,0.02,"Felberstra e 4 15 Rudolfsheim F nfhaus 1150 Vienna Austria",7.9,842,48.1983543,16.3375246,"Austria",926
"715","Hotel Michelangelo",0.163588390501319,0.0369393139841689,0.0158311345646438,0.129287598944591,0.0369393139841689,0.308707124010554,0.029023746701847,0.0237467018469657,0,0.0395778364116095,"Piazza Luigi di Savoia 6 Central Station 20124 Milan Italy",8.4,3510,45.4845143,9.2057532,"Italy",1163
"716","Hotel Midmost",0.137254901960784,0.0588235294117647,0.0196078431372549,0.156862745098039,0.0392156862745098,0.137254901960784,0.0196078431372549,0.0196078431372549,0,0.0196078431372549,"Pelayo 14 Ciutat Vella 08001 Barcelona Spain",9.2,460,41.3856173,2.1659487,"Spain",1147
"717","Hotel Milano Scala",0.0779220779220779,0.103896103896104,0.0324675324675325,0.0454545454545455,0.0324675324675325,0.38961038961039,0.0194805194805195,0,0,0.051948051948052,"Via dell Orso 7 Milan City Center 20121 Milan Italy",8.8,1274,45.4689376,9.1868891,"Italy",1323
"718","Hotel Miramar Barcelona GL",0.145038167938931,0.0916030534351145,0.0305343511450382,0.106870229007634,0.0458015267175573,0.183206106870229,0.0229007633587786,0.0152671755725191,0,0.0381679389312977,"Plaza Carlos Iba ez 3 Sants Montju c 08038 Barcelona Spain",8.7,977,41.3703041,2.17141,"Spain",1178
"719","Hotel Monceau Wagram",0.152542372881356,0.0169491525423729,0.0169491525423729,0.305084745762712,0.0847457627118644,0.254237288135593,0.0677966101694915,0,0,0.0677966101694915,"7 Rue Rennequin 17th arr 75017 Paris France",7.9,772,48.8808779,2.2989756,"France",687
"720","Hotel Monge",0.207547169811321,0.0566037735849057,0.0754716981132075,0.30188679245283,0.132075471698113,0.358490566037736,0.0566037735849057,0,0,0.0566037735849057,"55 rue Monge 5th arr 75005 Paris France",9.4,386,48.8447938,2.3524462,"France",607
"721","Hotel Monsieur",0.326086956521739,0.0652173913043478,0.0217391304347826,0.358695652173913,0.0978260869565217,0.141304347826087,0.0217391304347826,0.0217391304347826,0,0.0434782608695652,"62 Rue Des Mathurins 8th arr 75008 Paris France",9,817,48.8735135,2.3217457,"France",644
"722","Hotel Montaigne",0.125,0.0625,0.0625,0.166666666666667,0.0208333333333333,0.104166666666667,0,0,0,0.0625,"6 Avenue Montaigne 8th arr 75008 Paris France",8.1,431,48.865467,2.3038811,"France",615
"723","Hotel Montalembert",0.0714285714285714,0.0714285714285714,0,0.142857142857143,0,0.0714285714285714,0.0714285714285714,0,0,0,"3 Rue de Montalembert 7th arr 75007 Paris France",8.5,126,48.8567042,2.3277805,"France",392
"724","Hotel Moonlight",0.214723926380368,0.0674846625766871,0.0368098159509202,0.233128834355828,0.0674846625766871,0.141104294478528,0.0245398773006135,0.0368098159509202,0,0.0613496932515337,"9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom",9,617,51.4940285,-0.1910497,"United Kingdom",744
"725","Hotel Mozart",0.107142857142857,0.0317460317460317,0.00793650793650794,0.126984126984127,0.0634920634920635,0.416666666666667,0.0317460317460317,0.00793650793650794,0,0.0158730158730159,"Piazza Gerusalemme 6 Sempione 20154 Milan Italy",8,4015,45.4834133,9.1666361,"Italy",1159
"726","Hotel Murmuri Barcelona",0.0810810810810811,0.027027027027027,0.0540540540540541,0.135135135135135,0.0810810810810811,0.216216216216216,0.027027027027027,0,0,0.027027027027027,"Rambla Catalunya 104 Eixample 08008 Barcelona Spain",8.8,375,41.3941625,2.1597836,"Spain",1198
"727","Hotel Neri",0.107142857142857,0.178571428571429,0.0357142857142857,0.214285714285714,0.0714285714285714,0.321428571428571,0,0,0,0.0357142857142857,"San Sever 5 Ciutat Vella 08002 Barcelona Spain",9.2,177,41.3832498,2.1753483,"Spain",1245
"728","Hotel Nestroy Wien",0.208333333333333,0.0208333333333333,0,0.208333333333333,0.0416666666666667,0.166666666666667,0.0208333333333333,0.0416666666666667,0,0.125,"Rotensterngasse 7a 02 Leopoldstadt 1020 Vienna Austria",8.1,682,48.2178332,16.3821636,"Austria",1239
"729","Hotel Odeon Saint Germain",0.0714285714285714,0.107142857142857,0.0357142857142857,0.125,0.0357142857142857,0.196428571428571,0.0535714285714286,0.0357142857142857,0,0.0178571428571429,"13 rue Saint Sulpice 6th arr 75006 Paris France",8.6,559,48.8513515,2.3375084,"France",126
"730","Hotel OFF Paris Seine",0.107142857142857,0,0.0357142857142857,0.107142857142857,0,0,0.0357142857142857,0,0,0,"86 Quai D Austerlitz 13th arr 75013 Paris France",8.4,683,48.8427364,2.3672171,"France",734
"731","Hotel Okura Amsterdam",0.10752688172043,0.166666666666667,0.010752688172043,0.118279569892473,0.0645161290322581,0.387096774193548,0.00537634408602151,0.00537634408602151,0.00537634408602151,0.0376344086021505,"Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands",8.9,2295,52.3487635,4.8938829,"Netherlands",928
"732","Hotel Omm",0.142857142857143,0.142857142857143,0.0204081632653061,0.0612244897959184,0,0.244897959183673,0.0204081632653061,0,0,0.0408163265306122,"Rossell 265 Eixample 08008 Barcelona Spain",8.9,631,41.3962468,2.1609551,"Spain",1235
"733","Hotel Op ra Richepanse",0.178807947019868,0.0463576158940397,0.00662251655629139,0.19205298013245,0.0662251655629139,0.178807947019868,0.0993377483443709,0.0198675496688742,0,0.0662251655629139,"14 Rue du Chevalier de Saint George 1st arr 75001 Paris France",9.2,1073,48.8686931,2.325211,"France",137
"734","Hotel Opera Cadet",0.0606060606060606,0.0303030303030303,0,0.0606060606060606,0.181818181818182,0.393939393939394,0.0303030303030303,0,0,0.0303030303030303,"24 rue Cadet 9th arr 75009 Paris France",8.5,349,48.8754371,2.3434586,"France",335
"735","Hotel Oscar",0.0869565217391304,0.0652173913043478,0.0217391304347826,0,0.0217391304347826,0.0652173913043478,0,0.0217391304347826,0,0.195652173913043,"33 rue Marbeuf 8th arr 75008 Paris France",8.5,408,48.8694755,2.3046954,"France",436
"736","Hotel Palace GL",0.1625,0.18125,0.025,0.15,0.05,0.25,0.01875,0.01875,0.00625,0.04375,"Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain",9.4,1266,41.3916258,2.1716378,"Spain",951
"737","Hotel Palais Strudlhof",0.236559139784946,0.0537634408602151,0.010752688172043,0.0967741935483871,0.150537634408602,0.440860215053763,0.032258064516129,0,0,0.021505376344086,"Pasteurgasse 1 09 Alsergrund 1090 Vienna Austria",8.7,1356,48.2217697,16.3578738,"Austria",1142
"738","Hotel Panache",0.378378378378378,0.108108108108108,0.027027027027027,0.405405405405405,0.0540540540540541,0.108108108108108,0.027027027027027,0,0,0.0540540540540541,"1 rue Geoffroy Marie 9th arr 75009 Paris France",8.6,371,48.8732543,2.343239,"France",21
"739","Hotel Parc Saint Severin Esprit de France",0.24390243902439,0.0853658536585366,0.024390243902439,0.182926829268293,0.0731707317073171,0.219512195121951,0.109756097560976,0.0121951219512195,0,0.121951219512195,"22 Rue de La Parcheminerie 5th arr 75005 Paris France",9.1,600,48.8518584,2.3447798,"France",313
"740","Hotel Parco di Sch nbrunn Vienna",0.162162162162162,0.027027027027027,0.027027027027027,0.189189189189189,0.108108108108108,0.243243243243243,0.0540540540540541,0,0,0,"Ratschkygasse 32 12 Meidling 1120 Vienna Austria",7.9,576,48.1776236,16.3243588,"Austria",1207
"741","Hotel Park Lane Paris",0.159420289855072,0.115942028985507,0,0.217391304347826,0.101449275362319,0.217391304347826,0.0434782608695652,0,0.0144927536231884,0.0434782608695652,"4 Rue La Boetie 8th arr 75008 Paris France",8.7,824,48.8745879,2.3188143,"France",506
"742","Hotel Park Villa",0.0810810810810811,0.027027027027027,0.027027027027027,0.108108108108108,0.027027027027027,0.405405405405405,0.027027027027027,0.027027027027027,0,0.027027027027027,"Hasenauerstra e 12 19 D bling 1190 Vienna Austria",8.6,564,NA,NA,"Austria",970
"743","Hotel Pension Baron am Schottentor",0.142857142857143,0.075187969924812,0.0075187969924812,0.0601503759398496,0.0902255639097744,0.0676691729323308,0.0300751879699248,0.0075187969924812,0,0.0300751879699248,"W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria",8,1315,NA,NA,"Austria",1448
"744","Hotel Pierre Milano",0.24,0,0.04,0.08,0.04,0.08,0.04,0,0,0.04,"Via De Amicis 32 Milan City Center 20123 Milan Italy",7.5,397,45.4595203,9.1770004,"Italy",1321
"745","Hotel Plaza Athenee Paris",0.166666666666667,0.25,0,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0,0,0,"25 Avenue Montaigne 8th arr 75008 Paris France",9.3,160,48.8661932,2.3042141,"France",340
"746","Hotel Plaza Elys es",0.0512820512820513,0.0769230769230769,0.0256410256410256,0.0512820512820513,0.153846153846154,0.179487179487179,0,0,0,0.0512820512820513,"177 Boulevard Haussmann 8th arr 75008 Paris France",8.5,563,48.8746128,2.3056956,"France",204
"747","Hotel Portello Gruppo Minihotel",0.0857142857142857,0,0,0.0285714285714286,0.0857142857142857,0.342857142857143,0.0285714285714286,0,0,0.0285714285714286,"Via G Silva 12 Fiera Milano City 20149 Milan Italy",7.8,1197,45.4802503,9.1494925,"Italy",1337
"748","Hotel Principe Di Savoia",0.0769230769230769,0.216783216783217,0.041958041958042,0.0769230769230769,0.00699300699300699,0.237762237762238,0.013986013986014,0,0,0.020979020979021,"Piazza Della Repubblica 17 Central Station 20124 Milan Italy",9.1,1543,45.479888,9.1962982,"Italy",1153
"749","Hotel Prinz Eugen",0.156739811912226,0.0532915360501567,0.0125391849529781,0.103448275862069,0.0815047021943574,0.407523510971787,0.0219435736677116,0.00940438871473354,0,0.0282131661442006,"Wiedner G rtel 14 04 Wieden 1040 Vienna Austria",8.3,3308,48.1877258,16.3781454,"Austria",1467
"750","Hotel Pulitzer",0.163265306122449,0.0775510204081633,0.0326530612244898,0.146938775510204,0.0653061224489796,0.269387755102041,0.0612244897959184,0.00408163265306122,0,0.0408163265306122,"Bergara 8 Eixample 08002 Barcelona Spain",8.8,1746,41.386136,2.1682914,"Spain",836
"751","Hotel Pulitzer Paris",0.161764705882353,0.0735294117647059,0.0147058823529412,0.132352941176471,0.0588235294117647,0.397058823529412,0.0441176470588235,0.0147058823529412,0,0.0294117647058824,"23 rue du Faubourg Montmartre 9th arr 75009 Paris France",8.4,1521,48.8731996,2.3425446,"France",326
"752","Hotel Raffaello",0.232558139534884,0.0465116279069767,0,0.186046511627907,0.0930232558139535,0.511627906976744,0.0232558139534884,0.0232558139534884,0,0.0232558139534884,"Viale Certosa 108 Certosa 20156 Milan Italy",8.1,824,45.494861,9.141551,"Italy",1427
"753","Hotel Rathaus Wein Design",0.223076923076923,0.0615384615384615,0.0153846153846154,0.0923076923076923,0.0384615384615385,0.484615384615385,0.0307692307692308,0.0230769230769231,0.0153846153846154,0.0538461538461538,"Lange Gasse 13 08 Josefstadt 1080 Vienna Austria",9.3,1120,48.2075294,16.3525967,"Austria",1039
"754","Hotel Regina",0.103671706263499,0.0475161987041037,0.00647948164146868,0.118790496760259,0.0475161987041037,0.311015118790497,0.0323974082073434,0.00647948164146868,0.00215982721382289,0.041036717062635,"Rooseveltplatz 15 09 Alsergrund 1090 Vienna Austria",8.4,1948,48.2163343,16.3595536,"Austria",1232
"755","Hotel Regina",0.103671706263499,0.0475161987041037,0.00647948164146868,0.118790496760259,0.0475161987041037,0.311015118790497,0.0323974082073434,0.00647948164146868,0.00215982721382289,0.041036717062635,"Via Cesare Correnti 13 Milan City Center 20123 Milan Italy",8.4,285,45.459485,9.179511,"Italy",1317
"756","Hotel Regina",0.103671706263499,0.0475161987041037,0.00647948164146868,0.118790496760259,0.0475161987041037,0.311015118790497,0.0323974082073434,0.00647948164146868,0.00215982721382289,0.041036717062635,"Bergara 2 4 Eixample 08002 Barcelona Spain",8.5,2775,41.3858891,2.1681652,"Spain",835
"757","Hotel Rekord",0.115384615384615,0,0,0.115384615384615,0.0769230769230769,0.230769230769231,0.0384615384615385,0,0,0,"Muntaner 352 Sarri St Gervasi 08021 Barcelona Spain",8.1,461,41.3985449,2.1438237,"Spain",1085
